kb_id,title,product_tags,issue_type_tags,intent_tags,routing_queue,body_text
KB_CARD_PAY_001,"POS and online card payment failures, declines and duplicate charges","['credit_card', 'debit_card', 'prepaid_card', 'digital_wallet']","['pos_payment_failure', 'online_transaction_failure', 'payment_failure', 'card_declined', 'duplicate_card_charge', 'charge_dispute_general', 'refund_not_received']","['card_transaction_dispute', 'service_complaint', 'status_update_request']",card_disputes_chargebacks,"For complaints about POS or online card payments that failed, were declined, or resulted in duplicate charges, the agent must first confirm whether an authorization and financial posting exist in the card system. If no authorization record is found, the failure is typically on the merchant or network side; the customer should be asked to retry with a different terminal or channel. Where a financial posting exists but the customer did not receive goods or services, a formal dispute must be raised in the card_disputes_chargebacks queue in line with scheme rules. For duplicate card charges or incorrect amounts, supporting evidence such as receipts, screenshots or merchant communication should be collected. The customer must receive a dispute reference number and clear timelines for temporary credit, investigation and final resolution."
KB_CARD_FRAUD_001,Unauthorized card transactions and card lost or stolen,"['credit_card', 'debit_card', 'prepaid_card']","['unauthorized_transaction', 'card_lost_stolen', 'card_blocked', 'international_usage_blocked', 'overseas_usage_issue']","['fraud_alert', 'card_transaction_dispute']",fraud_investigations,"If a customer reports unauthorized card transactions or confirms that a card is lost or stolen, the agent must immediately block the card and cancel any active digital wallet tokens. The customer’s recent activity should be reviewed to identify the disputed transactions and channels. A fraud case must be logged in the fraud_investigations queue with full transaction details, dates, and channels. Where network or scheme rules allow, provisional credit may be granted subject to investigation outcomes. The agent must clearly advise the customer not to share PINs, CVV, passwords or OTPs and arrange a replacement card. All actions should comply with regulatory reporting and internal suspicious activity escalation standards."
KB_FRAUD_MON_001,Handling proactive fraud monitoring alerts and customer confirmations,"['credit_card', 'debit_card', 'digital_wallet']","['unauthorized_transaction', 'card_declined', 'online_transaction_failure']","['fraud_alert', 'information_request']",fraud_monitoring,"Fraud monitoring systems may trigger alerts for unusual or high-risk card and wallet transactions. When the fraud_monitoring team contacts a customer, the agent must perform full identity verification before discussing any transaction details. If the customer confirms that transactions are legitimate, blocks may be removed in line with risk rules. If the customer denies transactions, the card must be blocked and a fraud case created for fraud_investigations. Documentation of customer responses, risk decisions and any changes to limits or channels must be captured in the monitoring system for audit and regulatory reporting."
KB_ATM_001,ATM cash not dispensed or ATM out of service with debited account,"['debit_card', 'current_account', 'savings_account', 'salary_account']","['atm_cash_not_dispensed', 'atm_out_of_service', 'withdrawal_issue']","['service_complaint', 'status_update_request']",atm_pos_operations,"For ATM complaints where cash was not dispensed or the ATM was out of service but the account was debited, the agent must confirm the ATM ID, date, time and amount. The atm_pos_operations team should check host and switch logs to determine whether the transaction was reversed automatically. If no reversal is visible within the standard SLA (commonly 24–48 hours), a formal ATM dispute must be registered and monitored. The customer must be provided with a complaint reference number and clear timelines for provisional and final credit. Any goodwill refunds or manual adjustments must follow delegated authority and be recorded in the core account notes."
KB_DIGITAL_001,"Login, password reset, biometric and app stability issues","['mobile_banking_app', 'online_banking_portal']","['login_issue', 'password_reset_issue', 'biometric_login_issue', 'session_timeout', 'app_crash_or_freeze', 'device_compatibility_issue']","['access_issue', 'technical_issue']",digital_banking_support,"For digital banking login problems, password reset issues or app crashes, the agent must first verify customer identity using approved KYC checks. The digital_banking_support team should confirm whether the profile is locked due to multiple failed attempts, whether credentials are expired, and whether the customer is using a supported app version and device. Password resets and biometric re-enrolment must follow secure procedures and never involve sharing full passwords or OTPs with staff. Repeated session timeouts or crashes should be logged with device type, OS version and timestamps and escalated to core_banking_it_support if systemic. Any incident affecting multiple customers must be flagged as a major incident according to ITIL processes."
KB_DIGITAL_SEC_001,"MFA OTP failures, push notifications and device linking issues","['mobile_banking_app', 'online_banking_portal', 'digital_wallet', 'credit_card']","['mfa_otp_failure', 'push_notification_issue', 'device_linking_issue', 'card_tokenization_failure']","['access_issue', 'technical_issue', 'fraud_alert']",cybersecurity_and_access_management,"When customers cannot receive OTPs or push notifications, or face device linking and card tokenization failures, the agent must validate registered contact details and verify that the customer’s device and app meet security requirements. The cybersecurity_and_access_management team should check for telecom outages, spam filtering, and any security blocks on the profile. Device binding or token activation may need to be reset following strong customer authentication. Security controls must not be bypassed simply to complete a transaction; any exception requires documented approval. All events that may indicate compromised contact details or devices must be escalated according to the bank’s security incident procedures."
KB_PAYMENTS_DOM_001,"Domestic transfers, UPI failures, refunds and standing order issues","['current_account', 'savings_account', 'salary_account', 'digital_wallet']","['payment_failure', 'domestic_transfer_delay', 'upi_payment_issue', 'refund_not_received', 'standing_order_issue', 'direct_debit_failure', 'beneficiary_addition_failure', 'employer_mandate_issue']","['service_complaint', 'status_update_request', 'information_request']",domestic_payments_operations,"For domestic payment and UPI issues, the agent must confirm the transaction reference, date, amount and beneficiary details. The domestic_payments_operations team should verify the transaction status in payment gateways and core systems. If a payment failed before leaving the bank, any debited amount must be reversed within the published SLA. If the transaction reached the beneficiary bank but the customer claims non-receipt, interbank dispute procedures must be followed using the official reference (UTR or equivalent). Standing orders, employer mandates and direct debits should be checked for correct setup, expiry and sufficient funds. Customers must be given realistic timelines for resolution and guidance on how to avoid repeat failures."
KB_PAYMENTS_INTL_001,International transfer delays and overseas account usage issues,"['current_account', 'savings_account', 'salary_account']","['international_transfer_issue', 'overseas_usage_issue', 'international_usage_blocked']","['service_complaint', 'status_update_request', 'information_request']",international_payments_operations,"When customers complain about delayed or failed international transfers, the agent must obtain the transfer reference, currency, destination country and expected beneficiary. The international_payments_operations team should review SWIFT or equivalent messages, compliance holds and correspondent bank statuses. Delays due to sanctions, AML screening or missing beneficiary information must be clearly explained, while respecting confidentiality rules. For overseas card or account usage issues, the team should verify whether international usage is enabled and whether any country or merchant category blocks apply. Customers should be informed of indicative timelines, potential charges and required documentation."
KB_ACCOUNTS_001,"Balance discrepancies, deposits, withdrawals and profile updates","['current_account', 'savings_account', 'salary_account', 'student_account']","['balance_discrepancy', 'balance_not_updated', 'deposit_issue', 'withdrawal_issue', 'profile_update_issue', 'ownership_transfer_issue', 'statement_request']","['service_complaint', 'information_request', 'documentation_request', 'status_update_request']",retail_account_operations,"For balance discrepancy and deposit or withdrawal complaints, the agent must reconcile ledger and available balances, and review recent transactions including card authorizations and pending items. The retail_account_operations team should verify cash, cheque and electronic deposits against branch and channel logs. Profile updates such as address, contact details and account ownership changes must be supported by valid documentation and processed under dual control. Statement requests should be fulfilled through official channels only, ensuring that delivery addresses and email IDs are verified. Any manual adjustments to balances or ownership require appropriate approvals and must be fully documented."
KB_ACCOUNTS_CLOSE_001,"Closure of current, savings and salary accounts","['current_account', 'savings_account', 'salary_account', 'student_account']",['account_closure_request'],"['product_closure_request', 'service_complaint']",retail_account_operations,"When customers request closure of current, savings or salary accounts, the agent must check for outstanding balances, un-cleared items, active standing orders, direct debits and linked loan or card obligations. The retail_account_operations team should confirm that regulatory retention and KYC requirements are met before closure. Any residual credit balance must be refunded via approved methods, and confirmation of closure should be provided to the customer. Complaints about forced closures or unexpected restrictions must be logged and escalated to complaints_and_escalations_office where appropriate."
